Medal_ID,Medal_Name,Acronym,Slang,Service,Precedence,Category,Bong_Score,Valor_Tier,Image_Image,Medal_Link,Wiki_Link,Date_In_Use,Device,Ribbon_File_Direct_URL,Ribbon_Thumbnail_URL,Ribbon_Thumbnail_Image
in-all-ashoka-chakra-military,Ashoka Chakra (military decoration),ACMD,Chakra,ALL,1,Service / General – Other,100,1,Ashoka_Chakra_ribbon.svg,https://en.wikipedia.org/wiki/Ashoka_Chakra_(military_decoration),https://en.wikipedia.org/wiki/Ashoka_Chakra_(military_decoration),1952–present,Ribbon bar / clasp,https://upload.wikimedia.org/wikipedia/commons/a/a1/Ashoka_Chakra_ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Ashoka_Chakra_ribbon.svg/330px-Ashoka_Chakra_ribbon.svg.png,
gb-all-george-cross,George Cross,GC,Cross,ALL,1,Valor – Supreme decoration,95,1,UK_George_Cross_ribbon.svg,https://en.wikipedia.org/wiki/George_Cross,https://en.wikipedia.org/wiki/George_Cross,1940–present,Ribbon bar / clasp,https://upload.wikimedia.org/wikipedia/commons/7/77/UK_George_Cross_ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/UK_George_Cross_ribbon.svg/330px-UK_George_Cross_ribbon.svg.png,
gb-all-malta-george-cross-fif,Malta George Cross Fiftieth Anniversary Medal,MGCF,Cross,ALL,1,Valor – Supreme decoration,100,1,Malta_George_Cross_Fiftieth_Anniversary_Medal_Ribbon.png,https://en.wikipedia.org/wiki/Malta_George_Cross_Fiftieth_Anniversary_Medal,https://en.wikipedia.org/wiki/Malta_George_Cross_Fiftieth_Anniversary_Medal,1992–present,Ribbon bar / clasp,https://upload.wikimedia.org/wikipedia/commons/f/ff/Malta_George_Cross_Fiftieth_Anniversary_Medal_Ribbon.png,https://upload.wikimedia.org/wikipedia/commons/f/ff/Malta_George_Cross_Fiftieth_Anniversary_Medal_Ribbon.png,
us-af-medal-of-honor-u-s-air,Medal of Honor (U.S. Air Force),MOHU,Medal,AF,1,Valor – Supreme decoration,100,1,Medal_of_Honor_ribbon.svg,https://en.wikipedia.org/wiki/Medal_of_Honor,https://en.wikipedia.org/wiki/Medal_of_Honor,1965–present (USAF-specific variant),"Bronze oak leaf cluster, Gold star",https://upload.wikimedia.org/wikipedia/commons/0/0e/Medal_of_Honor_ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Medal_of_Honor_ribbon.svg/330px-Medal_of_Honor_ribbon.svg.png,
us-a-medal-of-honor-u-s-arm,Medal of Honor (U.S. Army),MOHU,Medal,A,1,Valor – Supreme decoration,100,1,Medal_of_Honor_ribbon.svg,https://en.wikipedia.org/wiki/Medal_of_Honor,https://en.wikipedia.org/wiki/Medal_of_Honor,1861–present (Army design),"Bronze oak leaf cluster, Gold star",https://upload.wikimedia.org/wikipedia/commons/0/0e/Medal_of_Honor_ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Medal_of_Honor_ribbon.svg/330px-Medal_of_Honor_ribbon.svg.png,
us-n-medal-of-honor-u-s-nav,Medal of Honor (U.S. Navy / USMC / USCG),MOHU,Medal,N,1,Valor – Supreme decoration,100,1,Medal_of_Honor_ribbon.svg,https://en.wikipedia.org/wiki/Medal_of_Honor,https://en.wikipedia.org/wiki/Medal_of_Honor,1861–present (Navy design),"Bronze oak leaf cluster, Gold star",https://upload.wikimedia.org/wikipedia/commons/0/0e/Medal_of_Honor_ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Medal_of_Honor_ribbon.svg/330px-Medal_of_Honor_ribbon.svg.png,
in-all-param-vir-chakra,Param Vir Chakra,PVC,Chakra,ALL,1,Valor – Supreme decoration,100,1,Param-Vir-Chakra-ribbon.svg,https://en.wikipedia.org/wiki/Param_Vir_Chakra,https://en.wikipedia.org/wiki/Param_Vir_Chakra,1950–present,Ribbon bar / clasp,https://upload.wikimedia.org/wikipedia/commons/6/64/Param-Vir-Chakra-ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Param-Vir-Chakra-ribbon.svg/330px-Param-Vir-Chakra-ribbon.svg.png,
gb-all-victoria-cross,Victoria Cross,VC,Cross,ALL,1,Valor – Supreme decoration,100,1,UK_Victoria_Cross_ribbon_bar.svg,https://en.wikipedia.org/wiki/Victoria_Cross,https://en.wikipedia.org/wiki/Victoria_Cross,1856–present,Ribbon bar / clasp,https://upload.wikimedia.org/wikipedia/commons/e/eb/UK_Victoria_Cross_ribbon_bar.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/UK_Victoria_Cross_ribbon_bar.svg/330px-UK_Victoria_Cross_ribbon_bar.svg.png,
au-all-victoria-cross-for-aus,Victoria Cross for Australia,VCFA,Cross,ALL,1,Valor – Supreme decoration,100,1,UK_Victoria_Cross_ribbon_bar.svg,https://en.wikipedia.org/wiki/Victoria_Cross_for_Australia,https://en.wikipedia.org/wiki/Victoria_Cross_for_Australia,1991–present,Ribbon bar / clasp,https://upload.wikimedia.org/wikipedia/commons/e/eb/UK_Victoria_Cross_ribbon_bar.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/UK_Victoria_Cross_ribbon_bar.svg/330px-UK_Victoria_Cross_ribbon_bar.svg.png,
nz-all-victoria-cross-for-new,Victoria Cross for New Zealand,VCFN,Cross,ALL,1,Valor – Supreme decoration,100,1,UK_Victoria_Cross_ribbon_bar.svg,https://en.wikipedia.org/wiki/Victoria_Cross_for_New_Zealand,https://en.wikipedia.org/wiki/Victoria_Cross_for_New_Zealand,1999–present,Ribbon bar / clasp,https://upload.wikimedia.org/wikipedia/commons/e/eb/UK_Victoria_Cross_ribbon_bar.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/UK_Victoria_Cross_ribbon_bar.svg/330px-UK_Victoria_Cross_ribbon_bar.svg.png,
us-af-air-force-cross-united,Air Force Cross (United States),AFCU,Cross,AF,2,Gallantry – Service cross,85,2,Air_Force_Cross_ribbon.svg,https://en.wikipedia.org/wiki/Air_Force_Cross_(United_States),https://en.wikipedia.org/wiki/Air_Force_Cross_(United_States),1960–present,Bronze oak leaf cluster,https://upload.wikimedia.org/wikipedia/commons/4/49/Air_Force_Cross_ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Air_Force_Cross_ribbon.svg/330px-Air_Force_Cross_ribbon.svg.png,
gb-all-conspicuous-gallantry-,Conspicuous Gallantry Cross,CGC,Cross,ALL,2,Gallantry – Decoration,85,2,UK_Conspicuous_Gallantry_Cross_ribbon.svg,https://en.wikipedia.org/wiki/Conspicuous_Gallantry_Cross,https://en.wikipedia.org/wiki/Conspicuous_Gallantry_Cross,1993–present,,https://upload.wikimedia.org/wikipedia/commons/a/a1/UK_Conspicuous_Gallantry_Cross_ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/UK_Conspicuous_Gallantry_Cross_ribbon.svg/330px-UK_Conspicuous_Gallantry_Cross_ribbon.svg.png,
us-a-distinguished-service-,Distinguished Service Cross (United States),DSCU,Cross,A,2,Gallantry – Service cross,85,2,Distinguished_Service_Cross_ribbon.svg,https://en.wikipedia.org/wiki/Distinguished_Service_Cross_(United_States),https://en.wikipedia.org/wiki/Distinguished_Service_Cross_(United_States),1918–present,Bronze oak leaf cluster,https://upload.wikimedia.org/wikipedia/commons/0/06/Distinguished_Service_Cross_ribbon.svg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Distinguished_Service_Cross_ribbon.svg/330px-Distinguished_Service_Cross_ribbon.svg.png,
