medal_id,medal_name,precedence_weight,country_code,device_logic,v_device_allowed,category,base_points,valor_points,other_names
ca-victoria-cross,Victoria Cross (Canada),1,CA,Bar,FALSE,Valor,100,100,VC
ca-cross-of-valour,Cross of Valour,2,CA,Bar,FALSE,Valor,100,100,
ca-order-of-canada,Order of Canada (CC/OC/CM),3,CA,None,FALSE,Order,0,0,
ca-order-of-military-merit,Order of Military Merit (CMM/OMM/MMM),4,CA,None,FALSE,Order,0,0,
ca-star-of-military-valour,Star of Military Valour,5,CA,Bar,FALSE,Valor,75,75,SMV
ca-star-of-courage,Star of Courage,6,CA,Bar,FALSE,Valor,75,75,
ca-meritorious-service-cross,Meritorious Service Cross (MSC),7,CA,Bar,FALSE,Merit,35,35,MSC
ca-medal-of-military-valour,Medal of Military Valour,8,CA,Bar,FALSE,Valor,50,50,MMV
ca-medal-of-bravery,Medal of Bravery,9,CA,Bar,FALSE,Valor,25,25,
ca-meritorious-service-medal,Meritorious Service Medal (MSM),10,CA,Bar,FALSE,Merit,20,20,MSM
ca-sacrifice-medal,Sacrifice Medal,11,CA,Bar,FALSE,Achievement,15,15,
ca-gulf-kuwait-medal,Gulf and Kuwait Medal,100,CA,Bar,FALSE,Campaign,5,5,
ca-somalia-medal,Somalia Medal,110,CA,Bar,FALSE,Campaign,5,5,
ca-south-west-asia-service,South-West Asia Service Medal (Afghanistan),120,CA,Bar,FALSE,Campaign,5,5,
ca-general-campaign-star,General Campaign Star,130,CA,Bar,FALSE,Campaign,5,5,
ca-general-service-medal,General Service Medal,140,CA,Bar,FALSE,Campaign,5,5,
ca-canadian-peacekeeping-service,Canadian Peacekeeping Service Medal,150,CA,Bar,FALSE,Service,5,5,
ca-special-service-medal,Special Service Medal,160,CA,Bar,FALSE,Service,5,5,
ca-cd,Canadian Forces' Decoration (CD),170,CA,Rosette,FALSE,Service,5,5,
