medal_id,medal_name,precedence_weight,country_code,device_logic,v_device_allowed,category
nz-victoria-cross,Victoria Cross for New Zealand,1,NZ,Bar,FALSE,Valor
nz-new-zealand-cross,New Zealand Cross (1999),2,NZ,Bar,FALSE,Valor
nz-order-of-new-zealand,Order of New Zealand (ONZ),3,NZ,None,FALSE,Order
nz-nz-order-of-merit,New Zealand Order of Merit (GNZM/KNZM/DNZM),4,NZ,None,FALSE,Order
nz-star-of-gallantry,New Zealand Star of Gallantry,5,NZ,Bar,FALSE,Valor
nz-star-of-courage,New Zealand Star of Courage,6,NZ,Bar,FALSE,Valor
nz-meritorious-service-medal,New Zealand Meritorious Service Medal,7,NZ,Bar,FALSE,Merit
nz-medal-of-gallantry,New Zealand Medal of Gallantry,8,NZ,Bar,FALSE,Valor
nz-medal-of-bravery,New Zealand Medal of Bravery,9,NZ,Bar,FALSE,Valor
nz-operational-service-medal,New Zealand Operational Service Medal,100,NZ,None,FALSE,Service
nz-east-timor-medal,New Zealand East Timor Medal,110,NZ,None,FALSE,Campaign
nz-general-service-medal-2002,NZ General Service Medal 2002 (Afghanistan/Iraq),120,NZ,Clasp,FALSE,Campaign
nz-defence-meritorious-service,NZ Defence Meritorious Service Medal,130,NZ,None,FALSE,Merit
nz-defence-service-medal,New Zealand Defence Service Medal,140,NZ,Clasp,FALSE,Service
