medal_id,medal_name,precedence_weight,country_code,device_logic,v_device_allowed,category,base_points,valor_points,other_names
us-medal-of-honor-army,Medal of Honor (Army),10,US,Star,FALSE,Valor,100,100,MOH
us-medal-of-honor-navy,Medal of Honor (Navy/MC),11,US,Star,FALSE,Valor,100,100,MOH
us-medal-of-honor-af,Medal of Honor (Air Force),12,US,Star,FALSE,Valor,100,100,MOH
us-distinguished-service-cross,Distinguished Service Cross,20,US,OLC,FALSE,Valor,75,75,DSC
us-navy-cross,Navy Cross,21,US,Star,FALSE,Valor,75,75,
us-air-force-cross,Air Force Cross,22,US,OLC,FALSE,Valor,75,75,AFC
us-distinguished-service-medal-army,Distinguished Service Medal (Army),30,US,OLC,FALSE,Merit,50,50,DSM
us-distinguished-service-medal-navy,Distinguished Service Medal (Navy),31,US,Star,FALSE,Merit,50,50,DSM
us-silver-star,Silver Star,40,US,Mixed,FALSE,Valor,50,50,SS
us-defense-superior-service,Defense Superior Service Medal,50,US,OLC,FALSE,Merit,35,35,DSSM
us-legion-of-merit,Legion of Merit,60,US,Mixed,TRUE,Merit,24,24,LoM
us-distinguished-flying-cross,Distinguished Flying Cross,70,US,Mixed,TRUE,Valor-Merit,75,75,DFC
us-soldiers-medal,Soldier's Medal,80,US,OLC,FALSE,Heroism,50,50,
us-bronze-star,Bronze Star Medal,90,US,Mixed,TRUE,Valor-Merit,25,25,BSM
us-purple-heart,Purple Heart,100,US,Mixed,FALSE,Achievement,0,0,
us-meritorious-service-medal,Meritorious Service Medal,110,US,Mixed,FALSE,Merit,20,20,MSM
us-air-medal,Air Medal,120,US,Mixed,TRUE,Achievement,25,25,
us-army-commendation,Army Commendation Medal,130,US,OLC,TRUE,Merit,25,25,
us-navy-mc-commendation,Navy & Marine Corps Commendation Medal,131,US,Star,TRUE,Merit,25,25,
us-combat-action-ribbon,Combat Action Ribbon,140,US,Star,FALSE,Action,10,10,CAR
us-presidential-unit-citation-army,Presidential Unit Citation (Army),150,US,OLC,FALSE,Unit,10,10,PUC
us-presidential-unit-citation-navy,Presidential Unit Citation (Navy),151,US,Star,FALSE,Unit,10,10,PUC
us-civil-war-campaign,Civil War Campaign Medal,500,US,None,FALSE,Service,5,5,
us-indian-campaign,Indian Campaign Medal,510,US,None,FALSE,Service,5,5,
us-spanish-campaign,Spanish Campaign Medal,520,US,None,FALSE,Service,5,5,
us-philippine-campaign,Philippine Campaign Medal,530,US,None,FALSE,Service,5,5,
us-mexican-service,Mexican Service Medal,540,US,None,FALSE,Service,5,5,
us-wwi-victory,World War I Victory Medal,550,US,Star,FALSE,Campaign,5,5,
us-american-defense-service,American Defense Service Medal,560,US,Star,FALSE,Service,5,5,
us-american-campaign,American Campaign Medal,570,US,Star,FALSE,Campaign,5,5,
us-asiatic-pacific-campaign,Asiatic–Pacific Campaign Medal,580,US,Star,FALSE,Campaign,5,5,
us-euro-africa-mid-east-campaign,European–African–Middle Eastern Campaign Medal,590,US,Star,FALSE,Campaign,5,5,
us-wwii-victory,World War II Victory Medal,600,US,None,FALSE,Service,5,5,
us-army-occupation-wwii,Army of Occupation Medal (WWII),610,US,None,FALSE,Service,5,5,
us-national-defense-service,National Defense Service Medal,620,US,Star,FALSE,Service,5,5,
us-korean-service,Korean Service Medal,630,US,Star,FALSE,Campaign,5,5,
us-vietnam-service,Vietnam Service Medal,640,US,Star,FALSE,Campaign,5,5,
us-sw-asia-service,Southwest Asia Service Medal,650,US,Star,FALSE,Campaign,5,5,
us-iraq-campaign,Iraq Campaign Medal,660,US,Star,FALSE,Campaign,5,5,
us-afghanistan-campaign,Afghanistan Campaign Medal,670,US,Star,FALSE,Campaign,5,5,
us-global-war-on-terrorism-service,GWOT Service Medal,680,US,None,FALSE,Service,5,5,
us-korean-defense-service,Korean Defense Service Medal,690,US,None,FALSE,Service,5,5,
